aanrijken aanreiken 
abbonnee abonnee 
abbonnement abonnement 
accellereren accelereren 
accomodatie accommodatie 
aggressie agressie 
aggressief agressief 
allebij allebei 
altans althans 
amtenaar ambtenaar 
anderzins anderszins 
apartement appartement 
asperine aspirine 
bakterie bacterie 
barbeque barbecue 
bbq barbecue 
beamte beambte 
bedriegelijk bedrieglijk 
bijv bijvoorbeeld 
bv bijvoorbeeld 
brilliant briljant 
buro bureau 
burgelijk burgerlijk 
kado cadeau 
cafe café 
kafe café 
kafé café 
kalorie calorie 
kamera camera 
cylinder cilinder 
klakson claxon 
klaxon claxon 
kollega collega 
kombinatie combinatie 
kombineren combineren 
comp computer 
komputer computer 
pc computer 
contakt contact 
kontact contact 
kontakt contact 
contrôle controle 
kontrole controle 
correkt correct 
korrekt correct 
demokratie democratie 
democraties democratisch 
demokraties democratisch 
demokratisch democratisch 
democratiese democratische 
demokratiese democratische 
demokratische democratische 
dichtsbijzijnde dichtstbijzijnde 
ekonomie economie 
economies economisch 
ekonomies economisch 
ekonomisch economisch 
economiese economische 
ekonomiese economische 
ekonomische economische 
eensgezinswoning eengezinswoning 
effekt effect 
effektief effectief 
ijland eiland 
ijnd eind 
ijnde einde 
ijndelijk eindelijk 
ijndje eindje 
electrisch elektrisch 
elektries elektrisch 
electrische elektrische 
elektriese elektrische 
enigzins enigszins 
ff even 
effe even 
exakt exact 
ekstra extra 
fabricant fabrikant 
falikant faliekant 
falicant faliekant 
feitenlijk feitelijk 
geboortebeperking geboortenbeperking 
gedistileerd gedistilleerd 
gijn gein 
geleik gelijk 
gerechterlijke gerechtelijke 
gevoegelijk gevoeglijk 
geweldadig gewelddadig 
gezamelijk gezamenlijk 
gront grond 
handoek handdoek 
hardstikke hartstikke 
hep heb 
hept hebt 
hopenlijk hopelijk 
houwvast houvast 
interesant interessant 
intervieuw interview 
keybord keyboard 
courant krant 
kunstof kunststof 
laggen lachen 
millieu milieu 
milimeter millimeter 
minitieus minutieus 
meschien misschien 
mischien misschien 
moter motor 
nochthans nochtans 
nummeriek numeriek 
ommelet omelet 
onmiddelijk onmiddellijk 
paralel parallel 
permiteren permitteren 
pitoresk pittoresk 
posthuum postuum 
podlood potlood 
podloot potlood 
potloot potlood 
practies praktisch 
practisch praktisch 
prakties praktisch 
practiese praktische 
practische praktische 
praktiese praktische 
rekord record 
rethorische retorische 
sabbotage sabotage 
sateliet satelliet 
sjaal shawl 
cigaret sigaret 
cigarette sigaret 
sigret sigaret 
sumier summier 
tv televisie 
uitwijden uitweiden 
vakature vacature 
vakatures vacatures 
vidio video 
voorwensel voorwendsel 
wezelijk wezenlijk 
woordvoerdster woordvoerster 
zijk zeik 
zijken zeiken 
zijkt zeikt 
zijl zeil 
zijlen zeilen 
